OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,114,0,39
CL00789,0,0,0,0,0,0,0,0,0,0,0,0,107,9,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00792,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,88,0,0,0,0,0,0,0,0,2,0,0,3,32,0,8,15
CL00798,0,0,0,0,0,3,56,4,0,14,11,0,0,0,0,0,0,0,0,0,0,0,30,5,11,14,0,13,0,0,0,0
CL00799,0,11,1,0,5,3,15,3,0,7,0,9,0,11,0,3,16,0,8,0,11,21,11,0,0,0,0,7,8,5,5,0
CL00801,0,0,0,0,0,0,11,0,0,0,0,0,2,0,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,151,0
CL00805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112
CL00810,0,1,4,8,0,0,3,0,1,0,0,0,24,28,3,17,2,0,11,7,0,0,5,0,4,0,0,0,7,18,0,14
CL00811,0,0,0,0,23,7,25,1,0,0,0,0,0,0,0,0,0,0,0,1,78,17,9,0,0,0,0,0,0,2,1,0
CL00816,0,0,0,0,5,7,29,0,0,14,1,0,8,5,2,6,1,0,0,6,5,7,39,0,0,5,2,11,0,8,0,0
CL00818,11,0,0,0,0,0,0,5,3,3,4,0,0,7,9,20,3,0,0,0,0,0,0,17,15,0,0,0,2,19,23,14
CL00822,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,65,4,9,8,0,0,0,66,0,0
CL00825,20,6,0,0,4,18,7,5,0,62,2,6,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,4,0,0
CL00830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0
