OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00127,0,0,9,2,0,4,0,0,0,17,8,0,94,455,87,105,5,0,2,4,1,0,0,0,0,0,1,6,411,730,142,60
CL00128,0,0,0,0,9,13,0,2,1848,8,0,2,146,17,0,0,0,0,0,0,1,3,0,0,0,0,73,1,0,0,0,0
CL00129,0,0,0,2,0,4,0,5,7,0,0,23,0,0,29,0,14,0,0,0,6,667,7,45,72,18,1182,23,0,0,1,0
CL00130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,0
CL00131,6,31,106,31,39,139,79,175,15,27,10,37,4,0,5,0,9,37,16,7,327,655,163,137,11,6,4,5,0,0,2,0
CL00132,0,199,0,27,0,551,0,42,54,162,96,67,104,3,0,2,59,75,7,3,53,37,26,69,127,123,55,109,0,0,30,0
CL00134,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2028,5,0,0,0,0,0,0,7,0,0,0,0,0
CL00135,0,15,15,26,3,18,2,37,22,158,11,45,0,2,3,0,287,101,268,129,32,193,131,92,102,46,106,180,0,0,15,0
CL00136,0,0,0,0,0,0,0,0,0,0,5,0,86,949,65,135,0,0,0,1,0,0,0,0,0,29,0,0,14,421,273,60
CL00137,0,0,0,0,1,0,0,0,22,1874,0,1,0,0,0,0,0,0,0,0,0,5,12,0,71,10,7,34,0,0,0,0
CL00138,26,92,0,47,0,5,0,73,186,277,69,108,0,0,0,0,6,129,225,31,0,17,4,19,92,87,256,272,0,0,0,0
CL00139,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,680,0,0,0,0,0,8,0,0,0,206,1103,0,0,0,0
CL00140,0,0,0,0,0,446,0,0,0,264,2,1239,0,0,0,0,13,0,0,0,0,0,0,0,5,0,13,0,0,0,10,2
CL00141,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,960,0,0,347,0,35,0,0,98,52,0,0,0,0
CL00142,51,56,19,76,0,0,0,0,0,0,1,0,7,257,19,155,508,111,301,103,0,0,0,0,0,0,0,0,125,108,23,6
CL00143,0,0,8,15,15,713,7,40,8,100,0,16,0,0,0,0,31,45,19,20,292,115,64,119,64,30,27,165,0,0,0,0
CL00144,0,0,0,0,0,15,0,117,39,105,141,581,0,0,0,0,0,0,0,0,0,18,1,99,253,139,146,243,0,0,0,5
CL00145,0,0,0,0,0,0,0,0,0,0,0,0,23,369,49,428,0,0,0,0,0,0,0,0,0,0,0,0,572,228,117,109
CL00146,0,111,0,633,0,0,0,0,221,0,0,0,0,0,686,0,0,94,0,21,0,0,0,0,0,0,94,0,0,0,25,4
CL00147,4,29,20,2,41,16,4,3,11,92,7,36,74,248,13,56,86,40,0,2,26,112,207,52,52,33,38,254,142,143,22,20
CL00148,24,88,0,162,9,7,116,26,19,45,10,10,0,38,83,0,417,91,132,138,47,55,91,37,17,4,0,0,0,20,190,8
