OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00554,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,216,0,0,0,4,0,0,0,0,0,0
CL00560,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0
CL00563,0,1,0,0,1,15,12,0,4,39,5,6,8,2,0,24,0,10,2,14,18,13,0,7,5,0,0,21,30,9,0,6
CL00567,0,0,0,0,0,0,2,0,1,6,6,0,26,36,3,51,0,0,0,1,5,17,22,0,1,6,7,0,5,27,0,20
CL00571,0,0,0,0,0,0,0,40,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,219,0,0,0,22,0,0,0,0
CL00574,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,27,0,0,0,0,0,0,0,0,0,0,0,0,91,78,0,30
CL00576,0,0,0,0,0,38,0,2,0,1,0,128,0,0,0,0,0,0,0,0,1,14,0,57,0,0,0,0,0,0,0,0
CL00579,0,0,0,16,0,0,0,3,5,6,9,0,0,55,0,6,0,0,3,0,0,0,0,0,0,13,0,0,0,125,4,0
CL00584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0
CL00585,0,0,0,0,3,0,0,0,0,8,0,0,0,0,14,9,0,0,0,7,21,18,96,12,0,0,7,55,0,0,16,0
