OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00956,10,2,18,46,0,0,0,0,0,2,0,1,4,8,0,2,0,1,8,2,0,0,4,10,0,0,0,6,0,0,8,0
CL01000,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
CL01049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
CL01060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
CL01079,0,0,0,1,8,6,13,23,2,4,0,1,9,0,0,0,0,0,0,0,7,1,1,4,9,20,3,0,2,0,0,0
CL01097,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0
CL01126,0,0,56,4,0,0,0,0,0,0,0,1,0,9,10,0,38,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CL01127,0,0,3,0,0,0,0,0,0,0,0,0,0,43,0,25,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
CL01144,2,2,0,0,0,0,41,2,0,0,2,5,0,0,18,0,0,0,0,0,0,2,0,0,1,3,0,13,0,0,8,0
CL01152,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,26,35,0,0,0,0,17,19,0,0,0,0,0,0,8,0
CL01169,0,1,35,4,1,0,0,1,0,0,0,1,0,0,10,6,32,0,0,2,0,0,10,0,0,0,0,0,1,0,0,0
CL01220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01225,4,0,7,0,0,7,0,1,0,0,0,0,3,0,0,0,0,3,0,0,4,0,30,29,0,0,0,3,0,0,3,0
CL01233,0,0,0,0,0,28,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,4,3,0,0,0,0
CL01262,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
CL01272,0,0,0,0,1,5,2,0,0,49,0,0,0,0,0,0,0,0,0,0,6,1,14,2,4,0,0,5,0,0,0,0
CL01290,0,0,0,0,1,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01301,0,0,0,0,10,9,10,12,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,5,0,0,0,0
CL01314,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,52,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0
CL01326,0,0,0,5,0,0,0,3,0,0,1,1,5,15,0,7,0,3,3,21,0,0,0,14,0,0,5,0,0,0,0,5
CL01331,0,0,0,0,3,0,49,2,0,0,0,0,0,0,18,0,0,0,0,3,0,0,4,0,2,1,0,0,0,0,6,0
CL01336,0,0,0,0,0,0,0,0,0,57,0,0,0,0,7,2,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0
CL01344,0,0,49,0,0,0,0,0,0,0,0,0,0,0,10,9,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
CL01345,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
CL01363,0,0,65,0,0,0,0,1,0,0,0,0,0,8,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0
CL01378,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01386,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0
CL01436,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,4
CL01440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,54,0,0,0,0,0,0,0,0
CL01459,0,0,0,0,0,0,0,3,0,0,0,0,0,0,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01473,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,13,0,0,0,0
CL01476,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,17,3,0,15,0,0,0,0,0,0
CL01491,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CL01496,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
CL01510,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01528,0,0,0,0,0,10,0,1,0,20,0,0,0,0,0,0,0,0,0,0,2,0,21,0,0,0,0,6,0,0,0,0
CL01566,0,0,0,0,1,0,0,0,0,0,0,0,2,0,53,2,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0
CL01574,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
CL01577,0,0,0,0,0,0,0,0,0,0,1,0,31,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01604,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
CL01675,8,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,4,0,0,5,0,11,23,0,3,0,1,0,0,2,0
CL01711,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01727,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,17,0,6,13,13,4,0,0,0,0,0,0,0
CL01737,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,25,0,9,0,0,2,0,0,2,0,3,14,0,0,0,0
CL01762,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CL01788,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01811,0,8,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,13,0,0,0,0,3,0,7,9,0,0,0,0
CL01823,0,0,0,9,0,3,0,8,0,8,3,0,0,0,0,0,0,0,0,0,1,1,3,5,0,1,2,0,0,0,6,0
CL01838,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01840,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL01857,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,17,0,7,0,0,13,0,0,2,0
CL01874,0,0,0,0,2,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,5,3,0,0,0,0
CL01900,0,0,0,0,0,0,0,0,0,2,0,0,8,0,3,9,0,0,0,0,4,0,6,2,2,7,0,2,7,0,0,0
CL01904,0,0,0,0,3,0,4,2,1,0,0,0,0,0,9,0,0,0,0,0,8,2,12,3,0,0,0,1,0,0,0,0
CL01913,14,0,6,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,17,0
CL01931,0,0,0,0,0,1,0,0,0,20,0,0,0,0,2,2,0,0,0,0,4,0,1,7,0,0,0,5,0,0,0,0
CL01966,31,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,7,0,1,0,0,0,3,0,2,6,0,0,0,0,0,0
CL01981,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0
CL01990,18,3,15,2,0,0,0,0,2,0,2,2,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0
CL01994,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CL02000,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
CL02035,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02041,0,0,0,1,0,5,0,13,0,8,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0
CL02059,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0
CL02084,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02098,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,3,0,0,7,2,0,9,0,0,0,0,0,0,2,0
CL02128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
CL02130,15,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,4,3,6,0,0,0,0,0,0,6,0
CL02166,9,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,6,1,0,3,0,0,0,0,0,0,9,0,0,2,0
CL02191,0,0,0,0,0,0,1,0,0,0,1,3,6,0,0,11,0,0,0,0,5,0,2,0,0,0,0,8,0,0,0,0
CL02193,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02237,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02240,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02241,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
CL02243,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02244,0,0,0,2,0,2,0,3,0,15,1,1,0,0,6,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0
CL02260,0,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0
CL02300,11,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,8,11,0,0,0,0,0,0,0,0
CL02348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
CL02352,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,2,5,0,0,0,0
CL02359,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,1,6,0,0,0,0,1,9,0,0,5,0,1,0
CL02425,0,0,0,0,0,0,1,0,0,4,0,0,5,0,0,6,0,0,0,0,2,3,4,0,0,0,0,0,7,0,0,0
CL02457,0,0,0,8,0,4,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
CL02481,0,0,0,0,0,2,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0
CL02492,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,0,0,4,0,0,0,0,0,0
CL02499,0,0,0,0,4,0,8,0,0,0,3,0,0,0,1,0,0,0,1,0,0,7,4,0,0,5,0,0,0,0,0,0
CL02523,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL02551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,9,0,0,0,0,0,0,0,0,0,0,0,0
CL02558,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,7,0
CL02585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
CL02604,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0
CL02616,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0
CL02622,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,14,0
CL02623,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,21,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CL02662,4,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,3,0,2,3,7,0,0,0,5,2,0,2,0,0,0,0
CL02671,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
